temperature,vibration,pressure,humidity,rotation_speed,voltage,current,oil_level,load,motor_temperature,gearbox_temperature,sound_level,fan_speed,reactive_power,active_power,machine_failure,timestamp
77.48357077,0.639935544,27.97446518,30.46096221,1456.82532,215.7624032,4.442959321,73.92592541,79.66974736,63.82701078,61.60752635,71.46546094,1258.740703,50.05868185,97.75759044,0,1/1/2024 0:00
74.30867849,0.592463368,29.56644399,35.69807495,1498.439826,215.4658589,4.684534583,61.11159519,74.9634974,65.36706351,63.47250268,76.29855121,1106.050953,52.63719326,97.89165281,0,1/1/2024 1:00
78.23844269,0.505963037,27.62274024,37.93197233,1500.900844,202.0435683,4.528969908,73.57372825,78.27625043,62.49344956,62.01309469,78.33225952,1183.610247,41.94498616,122.3542743,0,1/1/2024 2:00
82.61514928,0.435306322,29.07611541,49.43843829,1523.631517,216.6990981,4.726002091,68.83137971,87.14731728,50.28751155,65.55209023,77.26555492,1197.916999,45.40050915,108.093109,0,1/1/2024 3:00
73.82923313,0.569822331,24.319156,42.78276562,1431.657082,227.3282908,4.892924845,73.53728855,92.77856655,59.22288784,70.98589266,78.25343257,1200.795433,49.25910733,124.8065092,1,1/1/2024 4:00
73.82931522,0.539348539,30.63988112,33.32259215,1529.628364,207.2576788,5.418577243,73.88465846,85.70487331,54.22146213,61.14478921,74.36433141,1209.024803,45.56667483,95.03036867,0,1/1/2024 5:00
82.89606408,0.589519322,30.00361643,42.43018145,1364.780418,230.4848265,4.839420481,78.03957531,81.01723208,58.98697114,70.00410249,73.6001431,1230.521991,45.92204114,99.15033403,0,1/1/2024 6:00
78.83717365,0.56351718,27.54873411,32.26348006,1468.505772,224.8777482,4.207187147,76.76726824,94.9801177,64.90002118,61.09163964,72.78929594,1198.229628,48.25068668,86.67874235,0,1/1/2024 7:00
72.65262807,0.604955272,31.97773701,45.41345527,1475.586308,212.6576668,5.570033923,76.73285831,76.87163527,61.52575418,60.76186394,74.8323106,1181.597086,53.24790666,91.90433198,0,1/1/2024 8:00
77.71280022,0.446476479,32.81271041,37.64437674,1531.666341,218.5847036,4.581454933,77.2183516,90.30919338,65.74045433,69.09297309,74.76422761,1179.620533,48.28641112,119.0191315,1,1/1/2024 9:00
72.68291154,0.631739407,25.17732041,39.53181906,1501.131543,235.9832181,4.970639786,71.45689492,77.11937202,61.7087696,69.60968189,75.62003289,1169.42421,55.39213097,94.7796571,0,1/1/2024 10:00
72.67135123,0.51975996,27.71182566,46.62898324,1429.721847,227.3354781,5.223268253,70.16092544,84.31022958,53.5083703,69.25704968,74.61210763,1239.377166,45.01121109,119.192813,0,1/1/2024 11:00
76.20981136,0.707526087,27.69257295,33.56418216,1450.750344,220.0878365,5.099805209,74.36408542,78.86437435,47.39576497,58.42101296,74.59911681,1167.673576,43.7403887,87.56637739,0,1/1/2024 12:00
65.43359878,0.431081218,27.1802907,33.01440907,1509.934,217.6231668,5.547089774,73.66040476,79.44147817,60.74404381,62.67024511,72.66991784,1242.338555,59.63172703,89.46530966,0,1/1/2024 13:00
66.37541084,0.67359638,32.48842453,37.08200337,1496.046633,220.7660907,5.239501572,68.45466882,76.22613483,58.93036767,69.11494296,77.82485704,1200.949954,46.71020936,96.58768779,0,1/1/2024 14:00
72.18856235,0.519791078,29.41852158,45.19189426,1471.043795,214.8823644,4.56934521,72.02411704,93.44854031,55.1152713,65.2077092,75.22955419,1173.93726,43.44543996,99.36250078,0,1/1/2024 15:00
69.9358444,0.4348582,29.20645548,32.40326962,1475.958311,198.9525049,6.089281087,69.82451767,72.67073962,51.49686375,59.63153577,74.4766682,1230.920361,41.28973029,109.2308729,0,1/1/2024 16:00
76.57123666,0.451611417,23.98841291,25.83922201,1534.8084,240.4217791,5.097166732,65.73033546,72.59767747,56.32628393,67.2915897,72.75771224,1163.627304,55.37551727,104.5077042,0,1/1/2024 17:00
70.45987962,0.467965269,31.90625409,37.74420571,1474.115371,221.55325,4.926329887,76.45230371,101.2099357,59.02754258,61.42596371,71.00426067,1231.909202,48.29347743,95.83684743,0,1/1/2024 18:00
67.93848149,0.542416595,26.28222482,42.758704,1495.595438,223.9814727,5.481962712,70.27599621,89.77847565,63.32938912,73.97262424,78.92389258,1210.636306,48.73145132,98.66684193,0,1/1/2024 19:00
82.32824384,0.552283549,30.17979789,46.00130875,1608.496829,219.4209225,5.124725473,80.24354129,56.14886301,60.94315541,72.72420731,76.66391612,1170.183766,49.20399144,96.8093708,0,1/1/2024 20:00
73.8711185,0.44263,30.83213081,37.68419319,1428.815868,212.648832,5.199614096,61.87253865,74.34741261,68.04033624,68.02048713,70.12824647,1226.431741,55.06471442,90.85346265,0,1/1/2024 21:00
75.33764102,0.497564541,34.08197579,37.94286696,1407.407863,218.1407552,6.246091999,67.21610614,61.88010662,54.82197972,71.80503352,77.2894269,1227.329486,49.10235083,91.12037063,0,1/1/2024 22:00
67.87625907,0.714227036,26.0735388,45.76950367,1539.179483,204.0060524,4.862439286,70.16319418,70.49309307,64.40529446,65.32395675,77.76744351,1257.87598,61.72026889,110.2788389,0,1/1/2024 23:00
72.27808638,0.672754317,20.94146353,30.6512915,1466.067847,242.770865,4.841119553,75.68690549,48.61485334,60.23649372,68.82718747,75.37312837,1248.307351,50.66880287,81.71835072,0,1/2/2024 0:00
75.55461295,0.543632367,30.55154863,38.05739612,1484.088124,207.65488,5.058289256,71.99734686,78.63010422,63.47334562,72.38860148,79.79433269,1224.563701,55.30892383,116.173587,0,1/2/2024 1:00
